GroupBy,fitzpatrick,sex,ageGroup,country,Support,Macro-TPR,Macro-FPR,Micro-TPR,Micro-FPR,TP,FP,FN,TN,balancedAcc,Eczema_FN,Eczema_FP,Eczema_FPR,Eczema_TN,Eczema_TP,Eczema_TPR,Fungal_FN,Fungal_FP,Fungal_FPR,Fungal_TN,Fungal_TP,Fungal_TPR,Others_FN,Others_FP,Others_FPR,Others_TN,Others_TP,Others_TPR,Scabies_FN,Scabies_FP,Scabies_FPR,Scabies_TN,Scabies_TP,Scabies_TPR
"fitzpatrick, country",3.0,,,Guinea,2,0.5,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, country",3.0,,,Madagascar,119,0.55,0.14,0.61,0.13,73.0,46.0,46.0,311.0,0.55,16.0,15.0,0.23,50.0,38.0,0.7,13.0,11.0,0.12,79.0,16.0,0.55,5.0,4.0,0.04,107.0,3.0,0.38,12.0,16.0,0.18,75.0,16.0,0.57
"fitzpatrick, country",3.0,,,Malawi,182,0.72,0.1,0.73,0.09,133.0,49.0,49.0,497.0,0.72,12.0,11.0,0.08,134.0,25.0,0.68,7.0,8.0,0.05,151.0,16.0,0.7,19.0,14.0,0.12,106.0,43.0,0.69,11.0,16.0,0.13,106.0,49.0,0.82
"fitzpatrick, country",4.0,,,Madagascar,194,0.48,0.12,0.65,0.12,127.0,67.0,67.0,515.0,0.474,12.0,31.0,0.19,129.0,22.0,0.65,27.0,17.0,0.12,125.0,25.0,0.48,4.0,5.0,0.03,185.0,0.0,0.0,24.0,14.0,0.16,76.0,80.0,0.77
"fitzpatrick, country",4.0,,,Malawi,56,0.52,0.1,0.71,0.1,40.0,16.0,16.0,152.0,0.694,6.0,0.0,0.0,47.0,3.0,0.33,0.0,6.0,0.12,43.0,7.0,1.0,10.0,2.0,0.12,14.0,30.0,0.75,0.0,8.0,0.14,48.0,0.0,0.0
"fitzpatrick, country",4.0,,,Tanzania,4,0.19,0.06,0.75,0.08,3.0,1.0,1.0,11.0,0.75,1.0,0.0,0.0,0.0,3.0,0.75,0.0,1.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"fitzpatrick, country",5.0,,,Madagascar,127,0.61,0.12,0.66,0.11,84.0,43.0,43.0,338.0,0.609,16.0,15.0,0.17,74.0,22.0,0.58,13.0,11.0,0.12,84.0,19.0,0.59,1.0,5.0,0.04,120.0,1.0,0.5,13.0,12.0,0.17,60.0,42.0,0.76
"fitzpatrick, country",5.0,,,Malawi,200,0.68,0.09,0.76,0.08,152.0,48.0,48.0,552.0,0.677,15.0,3.0,0.02,178.0,4.0,0.21,2.0,4.0,0.02,159.0,35.0,0.95,5.0,32.0,0.26,92.0,71.0,0.93,26.0,9.0,0.07,123.0,42.0,0.62
"fitzpatrick, country",5.0,,,Tanzania,15,0.1,0.15,0.4,0.2,6.0,9.0,9.0,36.0,0.4,9.0,0.0,0.0,0.0,6.0,0.4,0.0,1.0,0.07,14.0,0.0,0.0,0.0,3.0,0.2,12.0,0.0,0.0,0.0,5.0,0.33,10.0,0.0,0.0
"fitzpatrick, country",6.0,,,Guinea,84,0.64,0.12,0.7,0.1,59.0,25.0,25.0,227.0,0.638,5.0,7.0,0.1,66.0,6.0,0.55,11.0,8.0,0.24,26.0,39.0,0.78,3.0,3.0,0.04,73.0,5.0,0.62,6.0,7.0,0.1,62.0,9.0,0.6
"fitzpatrick, country",6.0,,,Madagascar,3,0.25,0.25,0.67,0.11,2.0,1.0,1.0,8.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0
"sex, ageGroup",,f,00-04,,141,0.76,0.08,0.74,0.09,105.0,36.0,36.0,387.0,0.764,11.0,8.0,0.08,96.0,26.0,0.7,2.0,13.0,0.1,112.0,14.0,0.88,8.0,9.0,0.09,88.0,36.0,0.82,15.0,6.0,0.06,91.0,29.0,0.66
"sex, ageGroup",,f,05-09,,68,0.71,0.1,0.66,0.11,45.0,23.0,23.0,181.0,0.713,4.0,6.0,0.1,54.0,4.0,0.5,3.0,8.0,0.14,50.0,7.0,0.7,16.0,1.0,0.05,21.0,30.0,0.65,0.0,8.0,0.12,56.0,4.0,1.0
"sex, ageGroup",,f,10-14,,33,0.62,0.08,0.76,0.08,25.0,8.0,8.0,91.0,0.822,7.0,0.0,0.0,18.0,8.0,0.53,0.0,1.0,0.03,29.0,3.0,1.0,0.0,3.0,0.09,30.0,0.0,0.0,1.0,4.0,0.22,14.0,14.0,0.93
"sex, ageGroup",,f,15-19,,8,0.56,0.08,0.75,0.08,6.0,2.0,2.0,22.0,0.75,0.0,2.0,0.33,4.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,0.5,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.75
"sex, ageGroup",,f,20-24,,21,0.28,0.16,0.52,0.16,11.0,10.0,10.0,53.0,0.367,1.0,3.0,0.15,17.0,0.0,0.0,5.0,2.0,0.18,9.0,5.0,0.5,0.0,3.0,0.14,18.0,0.0,0.0,4.0,2.0,0.18,9.0,6.0,0.6
"sex, ageGroup",,f,25-29,,45,0.74,0.08,0.8,0.07,36.0,9.0,9.0,126.0,0.741,2.0,3.0,0.09,32.0,8.0,0.8,1.0,2.0,0.05,36.0,6.0,0.86,1.0,2.0,0.05,41.0,1.0,0.5,5.0,2.0,0.11,17.0,21.0,0.81
"sex, ageGroup",,f,30-34,,23,0.72,0.06,0.83,0.06,19.0,4.0,4.0,65.0,0.714,1.0,2.0,0.1,18.0,2.0,0.67,1.0,0.0,0.0,16.0,6.0,0.86,2.0,1.0,0.05,19.0,1.0,0.33,0.0,1.0,0.08,12.0,10.0,1.0
"sex, ageGroup",,f,35-39,,18,0.66,0.16,0.44,0.19,8.0,10.0,10.0,44.0,0.656,0.0,5.0,0.31,11.0,2.0,1.0,7.0,0.0,0.0,10.0,1.0,0.12,3.0,0.0,0.0,12.0,3.0,0.5,0.0,5.0,0.31,11.0,2.0,1.0
"sex, ageGroup",,f,40-44,,11,0.45,0.19,0.45,0.18,5.0,6.0,6.0,27.0,0.595,1.0,4.0,0.44,5.0,1.0,0.5,5.0,1.0,0.25,3.0,2.0,0.29,0.0,1.0,0.09,10.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0
"sex, ageGroup",,f,45-49,,6,0.45,0.05,0.83,0.06,5.0,1.0,1.0,17.0,0.9,1.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.2,4.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
"sex, ageGroup",,f,50-54,,25,0.43,0.15,0.56,0.15,14.0,11.0,11.0,64.0,0.57,2.0,6.0,0.32,13.0,4.0,0.67,4.0,0.0,0.0,15.0,6.0,0.6,0.0,1.0,0.04,24.0,0.0,0.0,5.0,4.0,0.25,12.0,4.0,0.44
"sex, ageGroup",,f,55-59,,14,0.29,0.16,0.57,0.14,8.0,6.0,6.0,36.0,0.583,2.0,2.0,0.25,6.0,4.0,0.67,0.0,3.0,0.21,11.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,1.0,0.17,5.0,4.0,0.5
"sex, ageGroup",,f,60-64,,10,0.22,0.05,0.8,0.07,8.0,2.0,2.0,28.0,0.444,0.0,2.0,0.2,8.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.89,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0
"sex, ageGroup",,f,65-69,,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"sex, ageGroup",,m,00-04,,220,0.7,0.1,0.71,0.1,157.0,63.0,63.0,597.0,0.697,31.0,12.0,0.08,139.0,38.0,0.55,7.0,14.0,0.07,188.0,11.0,0.61,15.0,14.0,0.09,139.0,52.0,0.78,10.0,23.0,0.15,131.0,56.0,0.85
"sex, ageGroup",,m,05-09,,147,0.66,0.1,0.69,0.1,101.0,46.0,46.0,395.0,0.665,14.0,1.0,0.01,122.0,10.0,0.42,4.0,6.0,0.06,88.0,49.0,0.92,0.0,29.0,0.25,89.0,29.0,1.0,28.0,10.0,0.09,96.0,13.0,0.32
"sex, ageGroup",,m,10-14,,38,0.78,0.12,0.66,0.11,25.0,13.0,13.0,101.0,0.786,3.0,4.0,0.14,24.0,7.0,0.7,0.0,5.0,0.17,24.0,9.0,1.0,0.0,2.0,0.05,35.0,1.0,1.0,10.0,2.0,0.1,18.0,8.0,0.44
"sex, ageGroup",,m,15-19,,18,0.46,0.15,0.67,0.11,12.0,6.0,6.0,48.0,0.454,3.0,3.0,0.21,11.0,1.0,0.25,1.0,0.0,0.0,15.0,2.0,0.67,1.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0,0.38,5.0,9.0,0.9
"sex, ageGroup",,m,20-24,,22,0.32,0.11,0.77,0.08,17.0,5.0,5.0,61.0,0.643,0.0,3.0,0.14,19.0,0.0,0.0,5.0,0.0,0.0,15.0,2.0,0.29,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.29,5.0,15.0,1.0
"sex, ageGroup",,m,25-29,,38,0.55,0.11,0.74,0.09,28.0,10.0,10.0,104.0,0.73,2.0,2.0,0.06,30.0,4.0,0.67,6.0,4.0,0.2,16.0,12.0,0.67,0.0,0.0,0.0,38.0,0.0,0.0,2.0,4.0,0.17,20.0,12.0,0.86
"sex, ageGroup",,m,30-34,,32,0.29,0.2,0.5,0.17,16.0,16.0,16.0,80.0,0.386,4.0,6.0,0.23,20.0,2.0,0.33,9.0,3.0,0.13,20.0,0.0,0.0,0.0,1.0,0.03,31.0,0.0,0.0,3.0,6.0,0.4,9.0,14.0,0.82
"sex, ageGroup",,m,35-39,,21,0.58,0.11,0.67,0.11,14.0,7.0,7.0,56.0,0.583,0.0,5.0,0.25,15.0,1.0,1.0,6.0,0.0,0.0,12.0,3.0,0.33,1.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.18,9.0,10.0,1.0
"sex, ageGroup",,m,40-44,,8,0.12,0.34,0.38,0.21,3.0,5.0,5.0,19.0,0.25,2.0,0.0,0.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.38,5.0,0.0,0.0
"sex, ageGroup",,m,45-49,,6,0.2,0.29,0.67,0.11,4.0,2.0,2.0,16.0,0.4,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.8,0.0,1.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
"sex, ageGroup",,m,50-54,,7,0.42,0.08,0.71,0.1,5.0,2.0,2.0,19.0,0.833,0.0,1.0,0.14,6.0,0.0,0.0,0.0,1.0,0.17,5.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.67
"sex, ageGroup",,m,55-59,,4,0.12,0.12,0.5,0.17,2.0,2.0,2.0,10.0,0.5,0.0,2.0,0.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"sex, country",,f,,Guinea,30,0.61,0.12,0.73,0.09,22.0,8.0,8.0,82.0,0.609,3.0,1.0,0.04,23.0,3.0,0.5,1.0,5.0,0.36,9.0,15.0,0.94,1.0,1.0,0.04,25.0,3.0,0.75,3.0,1.0,0.04,25.0,1.0,0.25
"sex, country",,f,,Madagascar,214,0.58,0.12,0.66,0.11,142.0,72.0,72.0,570.0,0.583,20.0,31.0,0.22,112.0,51.0,0.72,24.0,12.0,0.08,148.0,30.0,0.56,6.0,9.0,0.04,196.0,3.0,0.33,22.0,20.0,0.15,114.0,58.0,0.72
"sex, country",,f,,Malawi,177,0.71,0.09,0.73,0.09,130.0,47.0,47.0,484.0,0.707,8.0,11.0,0.07,148.0,10.0,0.56,5.0,13.0,0.08,144.0,15.0,0.75,23.0,11.0,0.12,78.0,65.0,0.74,11.0,12.0,0.1,114.0,40.0,0.78
"sex, country",,f,,Tanzania,4,0.19,0.06,0.75,0.08,3.0,1.0,1.0,11.0,0.75,1.0,0.0,0.0,0.0,3.0,0.75,0.0,1.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"sex, country",,m,,Guinea,56,0.65,0.11,0.7,0.1,39.0,17.0,17.0,151.0,0.652,2.0,6.0,0.12,44.0,4.0,0.67,10.0,3.0,0.14,18.0,25.0,0.71,2.0,2.0,0.04,50.0,2.0,0.5,3.0,6.0,0.13,39.0,8.0,0.73
"sex, country",,m,,Madagascar,229,0.5,0.14,0.63,0.12,144.0,85.0,85.0,602.0,0.504,24.0,30.0,0.17,144.0,31.0,0.56,30.0,27.0,0.16,142.0,30.0,0.5,4.0,5.0,0.02,219.0,1.0,0.2,27.0,23.0,0.19,97.0,82.0,0.75
"sex, country",,m,,Malawi,261,0.73,0.09,0.75,0.08,195.0,66.0,66.0,717.0,0.731,25.0,3.0,0.01,211.0,22.0,0.47,4.0,5.0,0.02,209.0,43.0,0.91,11.0,37.0,0.22,134.0,79.0,0.88,26.0,21.0,0.11,163.0,51.0,0.66
"sex, country",,m,,Tanzania,15,0.1,0.15,0.4,0.2,6.0,9.0,9.0,36.0,0.4,9.0,0.0,0.0,0.0,6.0,0.4,0.0,1.0,0.07,14.0,0.0,0.0,0.0,3.0,0.2,12.0,0.0,0.0,0.0,5.0,0.33,10.0,0.0,0.0
"ageGroup, country",,,00-04,Guinea,14,0.22,0.22,0.43,0.19,6.0,8.0,8.0,34.0,0.302,1.0,3.0,0.23,10.0,0.0,0.0,4.0,3.0,0.38,5.0,2.0,0.33,0.0,0.0,0.0,14.0,0.0,0.0,3.0,2.0,0.29,5.0,4.0,0.57
"ageGroup, country",,,00-04,Madagascar,73,0.51,0.15,0.6,0.13,44.0,29.0,29.0,190.0,0.51,13.0,9.0,0.27,24.0,27.0,0.68,2.0,12.0,0.18,56.0,3.0,0.6,4.0,4.0,0.06,64.0,1.0,0.2,10.0,4.0,0.08,46.0,13.0,0.57
"ageGroup, country",,,00-04,Malawi,258,0.78,0.08,0.79,0.07,203.0,55.0,55.0,719.0,0.778,21.0,8.0,0.04,201.0,28.0,0.57,3.0,10.0,0.04,225.0,20.0,0.87,19.0,16.0,0.11,136.0,87.0,0.82,12.0,21.0,0.12,157.0,68.0,0.85
"ageGroup, country",,,00-04,Tanzania,16,0.14,0.11,0.56,0.15,9.0,7.0,7.0,41.0,0.562,7.0,0.0,0.0,0.0,9.0,0.56,0.0,2.0,0.12,14.0,0.0,0.0,0.0,3.0,0.19,13.0,0.0,0.0,0.0,2.0,0.12,14.0,0.0,0.0
"ageGroup, country",,,05-09,Guinea,26,0.61,0.08,0.88,0.04,23.0,3.0,3.0,75.0,0.614,1.0,0.0,0.0,24.0,1.0,0.5,1.0,1.0,0.25,3.0,21.0,0.95,0.0,0.0,0.0,25.0,1.0,1.0,1.0,2.0,0.08,23.0,0.0,0.0
"ageGroup, country",,,05-09,Madagascar,35,0.67,0.14,0.57,0.14,20.0,15.0,15.0,90.0,0.67,12.0,1.0,0.07,13.0,9.0,0.43,0.0,5.0,0.16,26.0,4.0,1.0,1.0,1.0,0.03,32.0,1.0,0.5,2.0,8.0,0.3,19.0,6.0,0.75
"ageGroup, country",,,05-09,Malawi,154,0.6,0.13,0.67,0.11,103.0,51.0,51.0,411.0,0.595,5.0,6.0,0.04,139.0,4.0,0.44,6.0,8.0,0.07,109.0,31.0,0.84,15.0,29.0,0.35,53.0,57.0,0.79,25.0,8.0,0.07,110.0,11.0,0.31
"ageGroup, country",,,10-14,Guinea,5,0.88,0.06,0.8,0.07,4.0,1.0,1.0,14.0,0.875,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.25,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.5
"ageGroup, country",,,10-14,Madagascar,40,0.57,0.12,0.68,0.11,27.0,13.0,13.0,107.0,0.766,3.0,4.0,0.17,19.0,14.0,0.82,0.0,5.0,0.14,31.0,4.0,1.0,0.0,2.0,0.05,38.0,0.0,0.0,10.0,2.0,0.1,19.0,9.0,0.47
"ageGroup, country",,,10-14,Malawi,26,0.5,0.1,0.73,0.09,19.0,7.0,7.0,71.0,0.667,7.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,1.0,0.0,3.0,0.12,23.0,0.0,0.0,0.0,4.0,0.29,10.0,12.0,1.0
"ageGroup, country",,,15-19,Guinea,3,0.25,0.25,0.33,0.22,1.0,2.0,2.0,7.0,0.333,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
"ageGroup, country",,,15-19,Madagascar,20,0.63,0.04,0.85,0.05,17.0,3.0,3.0,57.0,0.841,0.0,3.0,0.17,15.0,2.0,1.0,2.0,0.0,0.0,15.0,3.0,0.6,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,7.0,12.0,0.92
"ageGroup, country",,,15-19,Tanzania,3,0.0,0.25,0.0,0.33,0.0,3.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
"ageGroup, country",,,20-24,Guinea,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"ageGroup, country",,,20-24,Madagascar,42,0.31,0.13,0.64,0.12,27.0,15.0,15.0,111.0,0.415,1.0,6.0,0.15,35.0,0.0,0.0,10.0,2.0,0.08,23.0,7.0,0.41,0.0,3.0,0.07,39.0,0.0,0.0,4.0,4.0,0.22,14.0,20.0,0.83
"ageGroup, country",,,25-29,Guinea,10,0.69,0.11,0.7,0.1,7.0,3.0,3.0,27.0,0.688,1.0,1.0,0.12,7.0,1.0,0.5,1.0,2.0,0.33,4.0,3.0,0.75,1.0,0.0,0.0,8.0,1.0,0.5,0.0,0.0,0.0,8.0,2.0,1.0
"ageGroup, country",,,25-29,Madagascar,73,0.58,0.09,0.78,0.07,57.0,16.0,16.0,203.0,0.772,3.0,4.0,0.07,55.0,11.0,0.79,6.0,4.0,0.08,48.0,15.0,0.71,0.0,2.0,0.03,71.0,0.0,0.0,7.0,6.0,0.17,29.0,31.0,0.82
"ageGroup, country",,,30-34,Guinea,5,0.33,0.19,0.4,0.2,2.0,3.0,3.0,12.0,0.444,1.0,1.0,0.25,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.33,0.0,2.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
"ageGroup, country",,,30-34,Madagascar,50,0.44,0.14,0.66,0.11,33.0,17.0,17.0,133.0,0.443,4.0,7.0,0.17,35.0,4.0,0.5,8.0,3.0,0.08,34.0,5.0,0.38,2.0,0.0,0.0,48.0,0.0,0.0,3.0,7.0,0.3,16.0,24.0,0.89
"ageGroup, country",,,35-39,Guinea,12,0.79,0.07,0.75,0.08,9.0,3.0,3.0,33.0,0.792,0.0,0.0,0.0,9.0,3.0,1.0,2.0,0.0,0.0,6.0,4.0,0.67,1.0,0.0,0.0,10.0,1.0,0.5,0.0,3.0,0.27,8.0,1.0,1.0
"ageGroup, country",,,35-39,Madagascar,27,0.35,0.16,0.48,0.17,13.0,14.0,14.0,67.0,0.467,0.0,10.0,0.37,17.0,0.0,0.0,11.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,22.0,2.0,0.4,0.0,4.0,0.25,12.0,11.0,1.0
"ageGroup, country",,,40-44,Guinea,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"ageGroup, country",,,40-44,Madagascar,17,0.38,0.27,0.35,0.22,6.0,11.0,11.0,40.0,0.508,3.0,4.0,0.31,9.0,1.0,0.25,8.0,3.0,0.5,3.0,3.0,0.27,0.0,1.0,0.06,16.0,0.0,0.0,0.0,3.0,0.2,12.0,2.0,1.0
"ageGroup, country",,,45-49,Guinea,7,0.21,0.29,0.71,0.1,5.0,2.0,2.0,19.0,0.417,1.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.83,0.0,1.0,0.14,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
"ageGroup, country",,,45-49,Madagascar,5,0.2,0.05,0.8,0.07,4.0,1.0,1.0,14.0,0.8,1.0,0.0,0.0,0.0,4.0,0.8,0.0,1.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"ageGroup, country",,,50-54,Madagascar,32,0.46,0.15,0.59,0.14,19.0,13.0,13.0,83.0,0.612,2.0,7.0,0.27,19.0,4.0,0.67,4.0,1.0,0.05,20.0,7.0,0.64,0.0,1.0,0.03,31.0,0.0,0.0,7.0,4.0,0.24,13.0,8.0,0.53
"ageGroup, country",,,55-59,Madagascar,18,0.42,0.16,0.56,0.15,10.0,8.0,8.0,46.0,0.556,2.0,4.0,0.33,8.0,4.0,0.67,2.0,3.0,0.21,11.0,2.0,0.5,0.0,0.0,0.0,18.0,0.0,0.0,4.0,1.0,0.1,9.0,4.0,0.5
"ageGroup, country",,,60-64,Guinea,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"ageGroup, country",,,60-64,Madagascar,9,0.22,0.06,0.78,0.07,7.0,2.0,2.0,25.0,0.438,0.0,2.0,0.22,7.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.88,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0
"ageGroup, country",,,65-69,Madagascar,2,0.25,0.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,00-04,,70,0.62,0.07,0.76,0.08,53.0,17.0,17.0,193.0,0.831,5.0,5.0,0.11,41.0,19.0,0.79,0.0,4.0,0.06,66.0,0.0,0.0,0.0,8.0,0.12,56.0,6.0,1.0,12.0,0.0,0.0,30.0,28.0,0.7
"fitzpatrick, sex, ageGroup",3.0,f,05-09,,32,0.33,0.15,0.53,0.16,17.0,15.0,15.0,81.0,0.444,2.0,6.0,0.21,22.0,2.0,0.5,3.0,2.0,0.07,26.0,1.0,0.25,10.0,1.0,0.12,7.0,14.0,0.58,0.0,6.0,0.19,26.0,0.0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,10-14,,7,0.75,0.0,1.0,0.0,7.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0
"fitzpatrick, sex, ageGroup",3.0,f,15-19,,1,0.25,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"fitzpatrick, sex, ageGroup",3.0,f,20-24,,5,0.33,0.18,0.4,0.2,2.0,3.0,3.0,12.0,0.444,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.2,4.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.33
"fitzpatrick, sex, ageGroup",3.0,f,25-29,,10,0.67,0.04,0.9,0.03,9.0,1.0,1.0,29.0,0.889,1.0,0.0,0.0,7.0,2.0,0.67,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.17,5.0,4.0,1.0
"fitzpatrick, sex, ageGroup",3.0,f,30-34,,3,0.38,0.12,0.67,0.11,2.0,1.0,1.0,8.0,0.75,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0
